"conscientizacao_ID","Escolaridade(chefe_familia)","Recebe_Info_Energia","Interesse_Info_Energia","Compra_Produtos_Economicos","Evita_Banho_Demorado","Regula_Temp_Geladeira","Evita_Acender_Luz_Dia"
1,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Nunca,Raramente
2,Médio completo/Superior incompleto,Não,Não,Sempre,"",Nunca,Sempre
3,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Nunca,Sempre
4,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Sempre,Sempre
5,Fundamental completo/Médio incompleto,Não,Sim,Sempre,"",Sempre,Sempre
6,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Raramente,Normalmente
7,Médio completo/Superior incompleto,Sim,"",Sempre,"",Nunca,Sempre
8,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Sempre,Sempre
9,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Sempre,Normalmente
10,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Sempre,Sempre
11,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Nunca,Sempre
12,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Sempre,Nunca
13,Fundamental I completo / Fundamental II incompleto,Não,Sim,Sempre,"",Raramente,Normalmente
14,Analfabeto / Fundamental I incompleto,Não,Sim,Sempre,"",Raramente,Sempre
15,Médio completo/Superior incompleto,Sim,"",Sempre,"",Sempre,Sempre
16,Analfabeto / Fundamental I incompleto,Sim,"",Sempre,"",Nunca,Sempre
17,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Normalmente,Sempre
18,Médio completo/Superior incompleto,Sim,"",Nunca,"",Nunca,Sempre
19,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Sempre,Sempre
20,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Sempre,Sempre
21,Fundamental I completo / Fundamental II incompleto,Sim,"",Sempre,"",Raramente,Sempre
22,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Normalmente,Sempre
23,Fundamental completo/Médio incompleto,Sim,"",Nunca,"",Nunca,Normalmente
24,Fundamental I completo / Fundamental II incompleto,Sim,"",Raramente,"",Nunca,Sempre
25,Fundamental completo/Médio incompleto,Sim,"",Sempre,"",Raramente,Sempre
26,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Nunca,Sempre
27,Médio completo/Superior incompleto,Sim,"",Sempre,"",Raramente,Sempre
28,Superior completo,Não,Sim,Normalmente,"",Nunca,Sempre
29,Superior completo,Sim,"",Sempre,"",Sempre,Sempre
30,Superior completo,Sim,"",Sempre,Sempre,Nunca,Sempre
31,Médio completo/Superior incompleto,Não,Sim,Sempre,"",Raramente,Sempre
