"regiao_ID","Regiao","Municipio","UF"
1,Norte,Boa Vista,RR
2,Nordeste,Fortaleza,CE
3,Nordeste,Iguatu,CE
4,Nordeste,Juazeiro do Norte,CE
5,Nordeste,Russas,CE
6,Norte,Rorainópolis,RR
7,Nordeste,Itapipoca,CE
8,Nordeste,Natal,RN
9,Nordeste,Quixadá,CE
10,Nordeste,Sobral,CE
11,Nordeste,Mossoró,RN
12,Nordeste,Caicó,RN
13,Nordeste,Santa Cruz,RN
14,Nordeste,Campina Grande,PB
15,Nordeste,Patos,PB
16,Nordeste,Monteiro,PB
17,Nordeste,João Pessoa,PB
18,Nordeste,Picos,PI
19,Nordeste,Parnaíba,PI
20,Nordeste,Teresina,PI
21,Nordeste,Floriano,PI
22,Norte,Rio Branco,AC
23,Norte,Cruzeiro do Sul,AC
24,Nordeste,Caxias,MA
25,Nordeste,Bacabal,MA
26,Nordeste,Balsas,MA
27,Nordeste,Imperatriz,MA
28,Norte,Porto Velho,RO
29,Nordeste,São Luís,MA
30,Nordeste,Petrolina,PE
31,Nordeste,Juazeiro,BA
32,Nordeste,Feira de Santana,BA
33,Nordeste,Serra Talhada,PE
34,Nordeste,Caruaru,PE
35,Nordeste,Olinda,PE
36,Nordeste,Recife,PE
37,Nordeste,Vitória de Santo Antão,PE
38,Nordeste,Jaboatão dos Guararapes,PE
39,Nordeste,Arapiraca,AL
40,Nordeste,Maceió,AL
41,Norte,Ji-Paraná,RO
42,Nordeste,Delmiro Gouveia,AL
43,Nordeste,Aracaju,SE
44,Nordeste,Nossa Senhora da Glória,SE
45,Nordeste,Lagarto,SE
46,Nordeste,Alagoinhas,BA
47,Norte,Belém,PA
48,Norte,Macapá,AP
49,Nordeste,Salvador,BA
50,Norte,Abaetetuba,PA
51,Nordeste,Itabuna,BA
52,Nordeste,Vitória da Conquista,BA
53,Sul,Curitiba,PR
54,Norte,Ananindeua,PA
55,Sul,Londrina,PR
56,Nordeste,Barreiras,BA
57,Sul,Francisco Beltrão,PR
58,Sul,Cascavel,PR
59,Sul,Maringá,PR
60,Norte,Breves,PA
61,Norte,Araguaína,TO
62,Norte,Marabá,PA
63,Norte,Palmas,TO
64,Sul,Joinville,SC
65,Centro-Oeste,Porangatu,GO
66,Centro-Oeste,Goiânia,GO
67,Norte,Manaus,AM
68,Norte,Tartarugalzinho,AP
69,Norte,Altamira,PA
70,Centro-Oeste,Aparecida de Goiânia,GO
71,Centro-Oeste,Rio Verde,GO
72,Sul,Umuarama,PR
73,Centro-Oeste,Anápolis,GO
74,Sudeste,Teófilo Otoni,MG
75,Sul,Florianópolis,SC
76,Sudeste,Niterói,RJ
